index,timestamp_utc,delta_ms,direction,group,command,cmd_value,kind,status,decoded,payload_len,payload_hex
19781,2026-08-27 20:07:21.544540,3.085,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=fb fd f8 d3 f6 cb fd 87,148,04 00 91 00 fb fd f8 d3 f6 cb fd 87 f9 1a fc fb 01 db fe c5 05 76 03 58 05 d3 04 a1 03 a1 02 f2 fe d5 fe 54 fa f4 f8 09 f8 00 f6 3c f6 0f f7 f0 f9 b9 fb 64 00 02 02 36 06 bd 07 55 0b 1e 0e 00 ...(+84B)
19782,2026-08-27 20:07:21.599392,54.852,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19783,2026-08-27 20:07:21.600168,0.776,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19784,2026-08-27 20:07:21.605969,5.801,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff 65 fe 7f f9 ed fb 61,148,04 00 91 00 ff 65 fe 7f f9 ed fb 61 f8 c2 f7 3d fc 4f fa 31 fd 71 00 9e 01 c9 03 b7 04 f4 06 0f 04 5c 03 d7 01 e6 fe c9 fc d3 f9 79 f7 e1 f6 b8 f4 f4 f7 51 f7 81 fa da fc d1 02 67 04 30 07 c7 ...(+84B)
19785,2026-08-27 20:07:21.627781,21.812,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19786,2026-08-27 20:07:21.628735,0.954,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19787,2026-08-27 20:07:21.633936,5.201,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=03 c7 05 3c 00 60 fd 94,148,04 00 91 00 03 c7 05 3c 00 60 fd 94 fa fe fa 5d f8 e0 f8 2a fa f4 fb 10 fd 22 00 90 01 6d 03 f7 04 a2 05 7b 04 93 03 38 01 f5 fe 72 fc d1 f9 9b f8 3a f6 13 f6 5b f6 e3 f7 ce fb 16 fd 67 01 bb ...(+84B)
19788,2026-08-27 20:07:21.655771,21.835,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19789,2026-08-27 20:07:21.656473,0.702,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19790,2026-08-27 20:07:21.660309,3.836,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=0b f2 09 4d 06 f7 05 2f,148,04 00 91 00 0b f2 09 4d 06 f7 05 2f 02 11 ff 42 fc be fc 12 f9 f6 fa 6a fb 05 fb ea fd 61 ff 4c 00 c7 01 b7 02 f4 02 9f 02 26 00 e5 ff 49 fd 0e fa e2 f9 5e f7 aa f7 07 f7 37 f8 41 f9 eb fc 15 ...(+84B)
19791,2026-08-27 20:07:21.692541,32.232,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19792,2026-08-27 20:07:21.759996,67.455,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19793,2026-08-27 20:07:21.766614,6.618,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=0b 83 0b 93 0a ed 08 4e,148,04 00 91 00 0b 83 0b 93 0a ed 08 4e 06 31 03 d7 01 29 fe d4 fd 29 fc 5a fb 73 fb 93 fc 71 fd 23 fe 3e ff 1f 00 53 00 59 00 74 00 30 ff 0a fe 0f fc 7e fb 77 f9 e2 f9 7b f9 16 f9 68 fa 45 fb c3 ...(+84B)
19794,2026-08-27 20:07:21.798632,32.018,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19795,2026-08-27 20:07:21.799382,0.750,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19796,2026-08-27 20:07:21.802975,3.593,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=08 08 09 15 09 7e 09 ca,148,04 00 91 00 08 08 09 15 09 7e 09 ca 09 5e 08 6d 07 61 06 1d 04 aa 03 2a 01 fe 00 b2 ff 8d fe a7 fd e4 fd 1c fc 85 fb f1 fb 5d fa ee fa 60 fa 06 f9 93 f9 5e f9 2a f9 4d f9 a6 fa 35 fb 0f fc 28 ...(+84B)
19797,2026-08-27 20:07:21.845448,42.473,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19798,2026-08-27 20:07:21.846564,1.116,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
